id,name,disposition,period,duration,depth,prad,teq
72494421,TOI-4203.01,1,2.9531039,2.501,16770.0,,1190.0
158697949,TOI-4204.01,1,3.9592516,3.269,3160.0,7.85756,1663.0
280645209,TOI-4205.01,1,5.9056572,4.314,10720.0,11.5383,1332.0
281242007,TOI-4206.01,1,2.4170503,3.246,7730.0,13.975,1685.0
37242226,TOI-4207.01,0,1.0681394,2.082,7290.0,19.5184,2561.0
280304556,TOI-4208.01,1,1.72328,3.005,14180.0,,
200090347,TOI-4209.01,1,0.8631737,1.227,6330.0,12.7525,1863.0
94986319,TOI-421.01,1,16.067522,2.6182382,2929.6501469,4.7909617,625.1939631
94986319,TOI-421.02,1,5.1976858,1.8810737,437.4376044,1.9257346,910.7399798
409315469,TOI-4210.01,1,1.0754208,1.01,4950.0,9.41227,1212.0
385654601,TOI-4211.01,1,2.2715616,2.741,8190.0,,1835.0
126864892,TOI-4212.01,1,2.3485025,1.804,3070.0,,1987.0
32408928,TOI-4213.01,0,1.0435229,1.476,4970.0,9.09391,1896.0
409594381,TOI-4214.01,1,3.491383,2.999,4650.0,11.154,1352.0
7274938,TOI-4215.01,1,1.0994412,1.394,3860.0,11.0223,2029.0
187861378,TOI-4216.01,0,2.1816809,3.83,1280.0,,2976.0
108939482,TOI-4217.01,0,1.1870337,2.7329029,8164.5762553,10.6747149,1953.7620867
142628514,TOI-4218.01,1,2.6269521,3.503,12010.0,17.6062,1979.0
114103136,TOI-4219.01,0,1.1471548,1.403,2670.0,3.90118,1107.0
117979455,TOI-422.01,1,0.6333372,0.6217089,1063.7800027,4.4957089,2513.555923
346995484,TOI-4220.01,1,1.9138779,2.352,18720.0,,1956.0
334252687,TOI-4221.01,1,2.8395663,2.1,9860.0,,1255.0
318054782,TOI-4222.01,0,0.8335712,1.509,3340.0,12.5164,2120.0
157088184,TOI-4223.01,1,7.2654708,3.568,13930.0,13.0064,1022.0
148667071,TOI-4224.01,1,1.161347,2.471,4320.0,10.7619,2501.0
141405814,TOI-4225.01,0,1.1355457,2.63,393.5764226,21.5263238,4122.0
127328218,TOI-4226.01,1,2.9628955,1.909,4610.0,14.7038,
99081059,TOI-4227.01,1,3.4169475,2.454,6880.0,13.7893,1435.0
415143674,TOI-4228.01,1,6.0219203,6.6297461,14130.5442597,19.1085522,1278.3924624
319282294,TOI-4229.01,0,1.1385671,1.897,6220.0,16.0326,2985.0
43647325,TOI-423.01,1,3.1615697,3.1425792,17482.2328085,14.8619546,1338.2946709
128127712,TOI-4230.01,1,1.9401022,2.4525242,6596.371503,,1461.3936558
127895118,TOI-4231.01,1,3.2970252,2.279,6550.0,13.4619,1885.0
126357909,TOI-4232.01,0,1.2247985,1.645,7640.0,8.32531,1670.0
113295476,TOI-4233.01,0,1.820443,2.643,7330.0,16.6319,1898.0
81055189,TOI-4234.01,1,0.908232,2.28,5020.0,8.54322,2617.0
157528286,TOI-4235.01,0,1.6562803,0.929,5610.0,9.54495,1151.0
36227841,TOI-4236.01,1,0.4021401,1.1432107,3337.1746961,22.9091656,3185.0
30825828,TOI-4237.01,1,3.0482015,2.433,7620.0,,1293.0
24615998,TOI-4238.01,1,1.2732245,1.634,23100.0,13.8628,1599.0
22121296,TOI-4239.01,1,2.8123314,4.7153653,7201.8344297,16.8822046,1902.8357335
117979694,TOI-424.01,0,1.9784257,2.106,720.0,2.02143,1378.0
19547831,TOI-4240.01,1,10.1238604,2.239,7090.0,15.7944,831.0
4102368,TOI-4241.01,1,3.1118943,2.761,16660.0,14.3339,1251.0
445582110,TOI-4242.01,1,3.0579913,3.125607,7764.9825702,14.2454281,1613.4739633
400683848,TOI-4243.01,1,1.0886286,2.4298631,412.1764427,8.7147619,3762.1392317
393340920,TOI-4244.01,1,1.8665254,3.109,3606.0,10.2057,2050.0
52928939,TOI-4245.01,1,3.1527177,1.8963737,4102.6968156,5.7168495,1075.6629276
291465998,TOI-4246.01,1,12.8860009,5.137673,11434.9523427,12.0983571,848.1501366
286153328,TOI-4247.01,1,4.3539599,3.4390219,41586.4865614,23.0280318,1175.6079755
190986054,TOI-4248.01,1,5.1442317,5.856,4310.0,13.8382,1790.0
269568703,TOI-4249.01,1,6.772626,4.592009,8606.4623591,19.1292,963.362475
169532369,TOI-425.01,0,3.60364,3.728,6281.32,14.1007,1931.0
269249506,TOI-4250.01,1,4.0185922,4.47,6230.0,13.9642,1897.0
192520375,TOI-4251.01,0,0.9109508,1.473,4720.0,13.0531,3262.0
145038729,TOI-4252.01,1,2.6085023,1.9206019,10431.5892384,13.8957666,1694.2534985
145249556,TOI-4253.01,1,3.4192373,3.37339,19414.5446339,,1209.8442751
92744152,TOI-4254.01,1,1.1462769,2.7834681,4058.2232173,14.1198099,2696.8402433
82302240,TOI-4255.01,0,2.5057108,1.962,3170.0,12.9673,1956.0
77102895,TOI-4256.01,0,1.0962372,2.336,2460.0,15.7533,2496.0
75208638,TOI-4257.01,0,4.6512523,2.251,3110.0,6.22936,1270.0
74484886,TOI-4258.01,0,3.8505662,2.499,6070.0,16.5768,1301.0
268643535,TOI-4259.01,1,8.9612626,1.8325932,11333.9389745,17.0901716,999.5113045
189013224,TOI-426.01,1,1.3205037,2.0155519,469.4537481,2.1611735,1632.1617353
74967390,TOI-4260.01,1,5.4588359,4.555,3290.0,8.59319,1486.0
74197917,TOI-4261.01,0,1.5040804,2.955,6130.0,,1354.0
53365065,TOI-4262.01,1,5.9977892,4.4957853,7349.0892262,11.3637133,1233.5559917
48276576,TOI-4263.01,0,0.8334976,1.452144,3841.4834968,9.0185699,2352.0540215
45996325,TOI-4264.01,1,3.1580472,2.6816352,7782.0821448,8.3204,1242.3268887
118308828,TOI-4265.01,0,3.7353995,1.836,2360.0,8.61993,1085.0
442050698,TOI-4266.01,1,0.8118585,1.102,6450.0,16.3456,1496.0
80783538,TOI-4267.01,1,1.2125595,1.344,5110.0,11.1279,1809.0
341272282,TOI-4268.01,0,0.8133123,1.079,310.0,4.37963,
178657161,TOI-4269.01,1,4.5766182,4.912,3770.0,,1527.0
70914192,TOI-427.01,1,0.6090253,1.099,6100.0,15.1945,2635.0
151920165,TOI-4270.01,1,3.4671474,2.405,4770.0,11.6401,1239.0
146842334,TOI-4271.01,1,4.5016988,4.716,4360.0,,1491.0
146664561,TOI-4272.01,1,2.7302636,2.645,9410.0,13.7961,1544.0
133331642,TOI-4273.01,1,2.9346956,3.447,11160.0,23.898,1793.0
290388627,TOI-4274.01,1,0.4459299,1.266,14630.0,20.4459,4056.0
363635669,TOI-4275.01,0,0.7617828,2.0029797,3487.6353826,,1995.7142723
469811655,TOI-4276.01,1,11.851162,3.1401245,5066.6012319,,799.4084682
466682238,TOI-4277.01,1,3.2738129,3.306,13200.0,14.6729,1475.0
466222485,TOI-4278.01,1,1.7519943,1.624,4360.0,9.23623,1355.0
407146536,TOI-4279.01,0,2.0976705,3.3618036,2503.6856881,14.488932,2395.3326749
117979850,TOI-428.01,1,0.6333315,0.404,320.0,6.24344,1284.0
387193925,TOI-4280.01,1,3.518972,3.21,13820.0,13.7987,1407.0
384386061,TOI-4281.01,0,5.7626055,3.963,7420.0,,1141.0
374348168,TOI-4282.01,1,13.5098037,2.695,24500.0,16.3981,730.0
343952976,TOI-4283.01,1,3.0131053,2.207,13660.0,17.061,1585.0
280726137,TOI-4284.01,1,3.5008785,4.9601804,6338.2982031,14.5866828,1655.3754994
310105752,TOI-4285.01,1,1.1703152,1.319,5380.0,9.82528,1941.0
294097592,TOI-4286.01,1,1.0268508,2.172,1430.0,3.2806,1925.0
290407621,TOI-4287.01,1,4.2337624,2.413,5740.0,14.6498,1214.0
278821913,TOI-4288.01,1,6.0597,1.242,8270.0,8.06637,603.0
278540265,TOI-4289.01,1,2.9757428,4.43,6820.0,18.7018,1817.0
259592689,TOI-429.01,1,,9.528,7525.67,9.33426,958.0
278196907,TOI-4290.01,1,1.1771655,1.048,1050.0,2.93951,1430.0
257520272,TOI-4291.01,1,12.1525595,5.254,6400.0,10.0438,1087.0
255918903,TOI-4292.01,0,1.7201092,2.622,7570.0,9.82252,1798.0
