id,name,disposition,period,duration,depth,prad,teq
10881457,K03484.01,1,84.704139000,10.39300,655.7,4.17,537.0
5513861,K07731.01,0,0.755105584,5.02374,250030.0,76.26,2412.0
9948002,K03562.01,0,101.263362820,17.89510,72792.0,44.00,435.0
5264304,K03563.01,0,120.581671780,8.29040,192900.0,41.71,291.0
10960995,K03564.01,0,1.558544209,3.37270,225590.0,35.12,1182.0
9592575,K03565.01,0,2.637574080,5.96260,169660.0,76.02,1242.0
7898576,K03566.01,0,8.646361880,8.73607,218070.0,54.24,1033.0
5806800,K07741.01,0,125.288206000,3.69500,241.6,1.50,363.0
11671429,K03567.01,0,112.463588930,31.82730,242410.0,129.04,692.0
5621333,K03341.01,1,27.096514600,8.42000,208.4,2.13,700.0
5621333,K03341.02,1,11.547498300,6.68400,115.5,1.48,930.0
5392897,K03342.01,0,42.399304290,18.36090,205990.0,44.70,542.0
3236705,K03343.01,1,83.266410300,2.81300,620.0,2.89,439.0
5282049,K01545.02,0,5.910399050,3.85000,,,
11810124,K03344.01,1,11.604488100,3.40900,267.6,1.88,841.0
6023859,K03414.01,0,27.009807384,1.96698,67898.0,22.32,330.0
3433668,K03415.01,1,15.021978400,5.06800,96.9,1.77,874.0
2849140,K03416.01,1,11.823722800,8.51800,212.7,1.25,703.0
7503885,K03417.01,1,91.078624000,10.30400,738.6,3.26,415.0
3629330,K03418.01,1,85.272459000,13.31000,767.8,3.85,443.0
5471289,K03485.01,0,12.425926750,29.17010,410.3,2.66,790.0
8121328,K03486.01,1,19.068951300,12.46200,169.3,1.63,627.0
9783760,K03487.01,0,89.739813700,3.26371,81096.0,38.01,363.0
9528430,K03489.01,0,90.082555620,19.73010,43252.0,49.20,666.0
5529552,K07732.01,0,0.759768478,2.82400,57.4,0.64,1737.0
8882847,K03490.01,0,42.201158700,8.47900,178.1,37.39,671.0
9773869,K03568.01,0,15.651290280,6.76310,398640.0,78.30,792.0
6707942,K03569.01,0,9.014220178,2.76441,34086.0,15.49,661.0
5023948,K03570.01,0,1.824653341,4.25512,176740.0,55.44,1680.0
5113053,K03571.01,0,3.185090259,4.80188,423280.0,92.50,1564.0
5817957,K07742.01,0,372.768880000,23.27000,1157.2,3.66,242.0
11853878,K01833.03,1,5.709407950,1.62200,586.7,1.51,644.0
4743508,K03572.01,0,2.086076372,2.40320,58858.0,1543.74,1645.0
11810124,K03344.02,1,3.638989530,2.25200,209.6,1.68,1238.0
11303322,K03345.01,1,38.130332400,6.53000,180.4,1.54,613.0
11241912,K03346.01,1,14.427350880,4.85700,117.0,1.53,783.0
6043538,K07759.01,1,6.225337400,4.38800,108.6,1.92,1378.0
8824737,K03347.01,1,12.902358740,2.44600,354.4,1.49,675.0
9349757,K03348.01,1,36.433786700,4.38800,406.8,2.20,561.0
11519134,K03419.01,0,58.585035700,3.59390,75468.0,149.98,707.0
7289338,K03420.02,1,12.501490500,3.88200,220.1,2.24,952.0
5004909,K03421.01,1,40.651102100,11.28200,136.4,1.70,651.0
6278670,K07775.01,1,89.945828000,2.28600,335.6,3.46,509.0
5898983,K03422.01,1,40.145475700,5.20000,310.8,13.01,1640.0
7703955,K01707.02,1,265.478470000,10.28000,1040.7,4.20,291.0
8552719,K01792.02,0,1.546222068,7.99800,49.4,0.77,1578.0
12164634,K03491.01,0,89.331382800,11.91900,2177.6,8.02,558.0
5193077,K03492.01,0,22.294148500,3.18800,100.9,1.50,760.0
5617259,K07733.01,1,1.048130894,5.67070,191.8,4.52,3871.0
8880123,K03493.01,1,46.716233600,7.25900,345.5,2.03,531.0
9474756,K03495.01,1,17.606270100,6.13400,146.2,1.72,753.0
10068919,K03573.01,0,43.562258580,3.68730,51325.0,80.02,624.0
7353970,K03574.01,0,198.443477000,9.97760,39943.0,41.72,279.0
12316447,K03575.01,0,17.907664726,5.58652,265410.0,282.86,746.0
5823557,K07743.01,0,2.404412200,4.57500,42.7,0.85,1662.0
10491554,K03576.01,0,22.771964840,8.34760,325450.0,104.17,835.0
9785454,K03577.01,0,184.520153920,15.35640,49269.0,23.38,275.0
8636333,K03349.01,1,82.175197000,8.66400,546.4,2.24,441.0
7136958,K03350.01,0,29.015852933,7.19844,71432.0,1183.06,592.0
1995732,K03351.01,0,77.362414760,12.13170,96586.0,41.66,362.0
6069674,K07761.01,0,495.710950000,4.51400,443.1,4.41,330.0
8081239,K03352.01,1,10.358570390,2.57700,273.7,1.68,860.0
5308663,K01562.02,1,20.067924700,5.23600,482.2,2.25,662.0
3745559,K03423.01,1,30.254118600,2.13400,576.3,2.80,660.0
8356054,K03424.01,0,17.081202417,7.20617,134140.0,39.24,585.0
9117416,K03425.01,1,20.034708000,6.49000,124.4,2.24,967.0
6356400,K07776.01,1,541.924520000,21.40000,1504.2,3.15,144.0
9117416,K03425.02,1,3.157220860,3.76200,49.7,1.41,1791.0
5900235,K03426.01,1,58.770104500,6.99500,224.4,1.57,508.0
9474756,K03495.02,1,6.685438000,5.09000,89.2,1.25,1040.0
7517261,K03496.01,1,23.238558700,8.43200,161.2,2.18,903.0
7517261,K03496.02,1,8.543377400,6.14900,75.1,1.58,1260.0
5653795,K07734.01,0,118.314913000,4.79000,216.3,7.23,786.0
8424002,K03497.01,1,20.359718990,2.15210,345.7,0.80,276.0
8635938,K03498.01,0,43.798566000,6.40100,290.4,48.52,721.0
10464666,K03578.01,0,131.736304850,5.28476,58381.0,54.38,413.0
5024292,K03579.01,0,4.301031137,5.65214,204150.0,93.01,1454.0
4659255,K03580.01,0,198.013791810,9.72673,142500.0,38.49,260.0
